id,Рецепт,Ссылка
4458,Рис тушеный с луком и специями,https://www.russianfood.com/recipes/recipe.php?rid=116649
4459,Праздничный картофельный рулет с грибами,https://www.russianfood.com/recipes/recipe.php?rid=137173
4460,Картофельный гратен в сливочном соусе,https://www.russianfood.com/recipes/recipe.php?rid=129225
4461,Тушеная капуста с яблоками,https://www.russianfood.com/recipes/recipe.php?rid=132316
4463,Молодой картофель с чесноком,https://www.russianfood.com/recipes/recipe.php?rid=135827
4464,Овсяные котлеты,https://www.russianfood.com/recipes/recipe.php?rid=143434
4465,Фасолица молдавская,https://www.russianfood.com/recipes/recipe.php?rid=122297
4469,Салат «Зимняя сказка»,https://www.russianfood.com/recipes/recipe.php?rid=129991
4471,"Молодой картофель в глазури, по-корейски (на сковороде)",https://www.russianfood.com/recipes/recipe.php?rid=167105
4472,"Острые баклажаны ""Кобра"" (в мультиварке)",https://www.russianfood.com/recipes/recipe.php?rid=132855
4473,Запеканка из тыквы с сыром и сметанно-яичной заливкой,https://www.russianfood.com/recipes/recipe.php?rid=168420
4474,Батата-харра (пряный картофель),https://www.russianfood.com/recipes/recipe.php?rid=146048
4476,"""Лапша"" из баклажанов с помидорами и сливочно-сырным соусом",https://www.russianfood.com/recipes/recipe.php?rid=163137
4477,Картофельные кожурки,https://www.russianfood.com/recipes/recipe.php?rid=117306
4478,"Фаршированный картофель, запеченный на гриле",https://www.russianfood.com/recipes/recipe.php?rid=128935
4479,Картофельный салат с оливками и красным луком,https://www.russianfood.com/recipes/recipe.php?rid=143188
4480,"Кабачки с сыром, орехами и розмарином",https://www.russianfood.com/recipes/recipe.php?rid=141499
4482,"Гарнир из тыквы ""Ароматный""",https://www.russianfood.com/recipes/recipe.php?rid=125846
4483,Мелкая паста с овощами,https://www.russianfood.com/recipes/recipe.php?rid=89877
4485,"Хрустящий картофель, запеченный в духовке",https://www.russianfood.com/recipes/recipe.php?rid=138038
4487,Морковь в апельсиновом соке,https://www.russianfood.com/recipes/recipe.php?rid=138469
4488,Горчичный картофель,https://www.russianfood.com/recipes/recipe.php?rid=126920
4489,Баклажаны остро-сладкие по-китайски,https://www.russianfood.com/recipes/recipe.php?rid=126302
4490,Адобо из баклажанов,https://www.russianfood.com/recipes/recipe.php?rid=141332
4492,Запеканка из молодой капусты с творогом,https://www.russianfood.com/recipes/recipe.php?rid=161921
4493,"Картофель, запеченный с сыром",https://www.russianfood.com/recipes/recipe.php?rid=143186
4494,"Картофель, фаршированный по-итальянски",https://www.russianfood.com/recipes/recipe.php?rid=134022
4495,Тушёная свёкла со сметаной и кетчупом,https://www.russianfood.com/recipes/recipe.php?rid=164034
4497,Морковь по-армянски,https://www.russianfood.com/recipes/recipe.php?rid=163950
4498,Цветная капуста в панировке с каперсами,https://www.russianfood.com/recipes/recipe.php?rid=121124
